latent_dim,heads,decoder_depth,head_dim,embed_dim,obs_frac,noise,best_val_nmse
32,4,2,2,8,0.5,False,0.8089997056768317
32,4,2,2,8,0.7,False,0.9040027263709007
32,4,2,2,8,0.8,False,0.9232466334166668
32,4,2,8,32,0.5,False,0.8089944749903126
32,4,2,8,32,0.7,False,0.9038377072451997
32,4,2,8,32,0.8,False,0.9233108729542224
32,4,4,2,8,0.5,False,0.8059361043195664
32,4,4,2,8,0.7,False,0.889976518907984
32,4,4,2,8,0.8,False,0.9076383197414504
32,4,4,8,32,0.5,False,0.8059273240067859
32,4,4,8,32,0.7,False,0.8897352689987305
32,4,4,8,32,0.8,False,0.9068007767043851
32,8,2,2,16,0.5,False,0.805812078577363
32,8,2,2,16,0.7,False,0.889342482945358
32,8,2,2,16,0.8,False,0.9220393902928218
32,8,2,8,64,0.5,False,0.8106283786826608
32,8,2,8,64,0.7,False,0.9026907513326219
32,8,2,8,64,0.8,False,0.922219191614501
32,8,4,2,16,0.5,False,0.8105954519222098
32,8,4,2,16,0.7,False,0.9028852289624059
32,8,4,2,16,0.8,False,0.9221560512579665
32,8,4,8,64,0.5,False,0.8106162046365297
32,8,4,8,64,0.7,False,0.9029531884076415
32,8,4,8,64,0.8,False,0.9221134651692062
128,4,2,2,8,0.5,False,0.8105823365315363
128,4,2,2,8,0.7,False,0.9029541899152556
128,4,2,2,8,0.8,False,0.9221242306469516
128,4,2,8,32,0.5,False,0.8106246742000949
128,4,2,8,32,0.7,False,0.902729814337583
128,4,2,8,32,0.8,False,0.930126521700332
128,4,4,2,8,0.5,False,0.8104009582765724
128,4,4,2,8,0.7,False,0.9078792944068161
128,4,4,2,8,0.8,False,0.9301204852914235
128,4,4,8,32,0.5,False,0.8104037498351568
128,4,4,8,32,0.7,False,0.9079681242094888
128,4,4,8,32,0.8,False,0.9300741880482964
128,8,2,2,16,0.5,False,0.8103815575936104
128,8,2,2,16,0.7,False,0.9079934887992416
128,8,2,2,16,0.8,False,0.9299686771169348
128,8,2,8,64,0.5,False,0.8104338441350961
